u,i,ts,label,idx
1,944,881250949.0,1,1
2,945,891717742.0,1,2
3,946,878887116.0,1,3
4,947,880606923.0,1,4
5,948,886397596.0,1,5
6,949,884182806.0,1,6
7,950,881171488.0,1,7
8,951,891628467.0,1,8
9,952,886324817.0,1,9
10,953,883603013.0,1,10
11,954,879372434.0,1,11
12,955,879781125.0,1,12
13,956,876042340.0,1,13
14,957,891035994.0,1,14
15,958,888104457.0,1,15
16,959,879485318.0,1,16
17,960,879270459.0,1,17
18,961,879539794.0,1,18
19,962,874834944.0,1,19
20,963,892079237.0,1,20
21,964,886176814.0,1,21
22,965,892738452.0,1,22
23,966,877881320.0,1,23
19,967,874833878.0,1,24
24,968,887736532.0,1,25
25,969,879196566.0,1,26
26,970,892430094.0,1,27
27,971,883748450.0,1,28
28,972,875747401.0,1,29
29,973,876861185.0,1,30
30,974,877052329.0,1,31
31,975,882075827.0,1,32
32,976,879539727.0,1,33
33,977,880731963.0,1,34
34,978,884238860.0,1,35
35,961,886890835.0,1,36
36,979,878962623.0,1,37
37,980,891295330.0,1,38
38,981,874791932.0,1,39
39,982,891350932.0,1,40
40,983,877888877.0,1,41
41,984,885329322.0,1,42
42,985,884114233.0,1,43
38,986,874791805.0,1,44
43,987,875333916.0,1,45
44,988,884921594.0,1,46
45,989,879741196.0,1,47
46,990,879641194.0,1,48
47,991,886519097.0,1,49
48,992,882823437.0,1,50
49,993,886271884.0,1,51
50,994,876535131.0,1,52
51,995,890618898.0,1,53
52,996,885853415.0,1,54
53,997,888205088.0,1,55
54,998,880037164.0,1,56
55,999,879877127.0,1,57
33,1000,880474293.0,1,58
56,1001,881107687.0,1,59
57,1002,881103977.0,1,60
7,1003,881171009.0,1,61
58,1004,879667584.0,1,62
42,1005,884112673.0,1,63
59,1006,882141053.0,1,64
44,1007,884920949.0,1,65
60,1008,879024232.0,1,66
22,1009,892738341.0,1,67
61,1010,883326620.0,1,68
62,984,883698581.0,1,69
63,961,891550094.0,1,70
64,1011,893277702.0,1,71
65,1012,879987440.0,1,72
66,1013,890251826.0,1,73
44,1014,884923047.0,1,74
18,1015,879546723.0,1,75
